,X.1,X,Cam.Site,No_spp,events,Lat_X,Long_Y,Instal.Date,Last.eventDate,Cam.Days,ID,elevation2010.01.01.2011.01.01,Dis_forest,dist_rios
1,1,1,Nancy_2162,8,115,0.56486,-76.75523,06/08/2019,23/11/2019,109,39782,225.25,23,373
2,2,2,Nancy_2165,6,19,0.57859,-76.75481,06/08/2019,24/11/2019,110,39400,222.375,58,45
3,3,3,Nancy_2174,7,28,0.5587,-76.7569,05/08/2019,23/11/2019,110,40163,232.5,84,130
4,4,4,Nancy_3338,8,23,0.57496,-76.74728,06/08/2019,24/11/2019,110,39400,222.375,48,347
5,5,5,Nancy_3339,3,8,0.56522,-76.76296,05/08/2019,24/09/2019,50,39781,235.375,100,114
6,6,6,Platanillo1_2178,6,35,0.48503,-76.29539,16/07/2019,06/11/2019,113,43271,229.375,66,307
7,7,7,Platanillo1_3310,4,5,0.47677,-76.29573,16/07/2019,07/11/2019,114,43653,231.0625,69,292
8,8,8,Platanillo1_3314,5,12,0.49272,-76.29395,16/07/2019,07/11/2019,114,42889,222,45,392
9,9,9,Platanillo1_3315,11,77,0.48547,-76.27795,15/07/2019,06/11/2019,114,43273,217.5,97,199
10,10,10,Platanillo1_3316,9,21,0.49616,-76.27908,15/07/2019,03/09/2019,50,42891,217.8125,59,450
11,11,11,Platanillo1_3336,11,51,0.47597,-76.27899,15/07/2019,06/11/2019,114,43655,219.0625,18,7
12,12,12,Platanillo2_2180,8,54,0.51418,-76.2955,14/07/2019,06/11/2019,115,42125,224.75,85,235
13,13,13,Platanillo2_3312,6,23,0.52424,-76.29439,14/07/2019,06/11/2019,115,41743,220.625,37,129
14,14,14,Platanillo2_3317,7,26,0.51489,-76.27686,13/07/2019,06/11/2019,116,42127,222.8125,36,173
15,15,15,Platanillo2_3319,10,59,0.50247,-76.27745,13/07/2019,06/11/2019,116,42509,218.8125,85,165
16,16,16,Platanillo2_3321,10,64,0.50526,-76.29438,14/07/2019,07/11/2019,116,42507,227.125,51,471
17,17,17,Platanillo2_3333,8,16,0.52336,-76.27747,13/07/2019,07/11/2019,117,41745,218.125,1,412
18,18,18,Platanillo3_3309,8,34,0.53441,-76.27708,12/07/2019,07/11/2019,118,41363,210.9375,4,480
19,19,19,Platanillo3_3311,5,6,0.54967,-76.27639,12/07/2019,06/11/2019,117,40599,222.3125,73,374
20,20,20,Platanillo3_3323,1,1,0.54113,-76.27976,12/07/2019,06/11/2019,117,40981,212.125,59,81
21,21,21,Platanillo3_3324,8,30,0.54243,-76.29462,11/07/2019,19/11/2019,131,40979,222.6875,46,159
22,22,22,Platanillo3_3326,2,48,0.55356,-76.29021,12/07/2019,06/11/2019,117,40597,213.9375,84,227
23,23,23,Platanillo3_3328,12,101,0.53369,-76.29592,11/07/2019,06/11/2019,118,41361,220.5625,33,368
24,24,24,Rumiyaco1_3313,8,116,0.4185,-77.07715,25/07/2019,14/11/2019,112,46240,237.9375,80,280
25,25,25,Rumiyaco1_3318,9,56,0.42848,-77.07491,24/07/2019,14/11/2019,113,45476,225.5625,53,372
26,26,26,Rumiyaco1_3320,7,60,0.42423,-77.06818,24/07/2019,14/11/2019,113,45859,224.3125,11,197
27,27,27,Rumiyaco1_3322,5,23,0.42421,-77.08447,25/07/2019,14/11/2019,112,45857,223.9375,58,48
28,28,28,Rumiyaco1_3325,10,42,0.44403,-77.06912,23/07/2019,13/11/2019,113,45095,247.25,27,474
29,29,29,Rumiyaco1_3335,9,87,0.4356,-77.06921,23/07/2019,13/11/2019,113,45477,225.5625,12,346
30,30,30,Rumiyaco2_2164,6,32,0.45157,-77.07254,23/07/2019,14/11/2019,114,44712,254.875,23,128
31,31,31,Rumiyaco2_2171,4,5,0.43107,-77.09073,22/07/2019,14/11/2019,115,45474,226.5625,48,120
32,32,32,Rumiyaco2_2173,9,93,0.43919,-77.07826,22/07/2019,14/11/2019,115,45094,247.25,74,326
33,33,33,Rumiyaco2_2175,9,52,0.43904,-77.08793,22/07/2019,14/11/2019,115,45093,239.1875,60,427
34,34,34,Rumiyaco2_3329,6,21,0.43258,-77.08202,22/07/2019,14/11/2019,115,45475,224.8125,5,428
35,35,35,Rumiyaco2_3334,5,27,0.44975,-77.08063,23/07/2019,14/11/2019,114,44711,255.5,53,173
36,36,36,Venado1_2161,7,19,0.63135,-77.09896,30/07/2019,21/11/2019,114,37069,266.0625,24,116
37,37,37,Venado1_2167,3,6,0.63064,-77.09103,30/07/2019,13/09/2019,45,37070,266.0625,81,94
38,38,38,Venado1_2177,5,11,0.64746,-77.09252,02/08/2019,18/11/2019,108,36306,274.5625,13,201
39,39,39,Venado1_3330,5,20,0.64942,-77.09937,01/08/2019,15/09/2019,45,36305,274.5625,93,449
40,40,40,Venado1_3332,1,1,0.63175,-77.08211,30/07/2019,18/09/2019,50,37071,269.5625,44,402
41,41,41,Venado1_3337,7,24,0.63898,-77.06673,01/08/2019,19/11/2019,110,36691,279.3125,6,218
42,42,42,Venado2_2158,2,2,0.63244,-77.12669,28/07/2019,18/11/2019,113,37066,269.5,39,180
43,43,43,Venado2_2159,8,75,0.6476,-77.10729,29/07/2019,18/11/2019,112,36304,280.4375,75,205
44,44,44,Venado2_2163,4,4,0.64538,-77.12546,29/07/2019,14/09/2019,47,36302,359.6875,40,401
45,45,45,Venado2_2168,4,12,0.64303,-77.11367,29/07/2019,24/11/2019,118,36686,273.375,44,362
46,46,46,Venado2_3331,6,24,0.63266,-77.11846,28/07/2019,23/11/2019,118,37067,269.5,58,44
