"category","scientific_name","year","assess_year","code","V1","taxonid","subspecies","rank","subpopulation","country"
"Least Concern","Akodon affinis","2016","2016","LC",NA,NA,NA,NA,NA,NA
"Least Concern","Akodon affinis","2008","2008","LC",NA,NA,NA,NA,NA,NA
"Lower Risk/least concern","Akodon affinis","1996","1996","LR/lc",NA,NA,NA,NA,NA,NA
"Vulnerable","Alouatta palliata","2021","2015","VU",NA,NA,NA,NA,NA,NA
"Vulnerable","Alouatta palliata","2020","2015","VU",NA,NA,NA,NA,NA,NA
"Least Concern","Alouatta palliata","2008","2008","LC",NA,NA,NA,NA,NA,NA
"Least Concern","Alouatta palliata","2003","2003","LC",NA,NA,NA,NA,NA,NA
"Lower Risk/least concern","Alouatta palliata","2000","2000","LR/lc",NA,NA,NA,NA,NA,NA
"Lower Risk/least concern","Alouatta palliata","1996","1996","LR/lc",NA,NA,NA,NA,NA,NA
"Least Concern","Alouatta seniculus","2021","2021","LC",NA,NA,NA,NA,NA,NA
"Least Concern","Ametrida centurio","2016","2016","LC",NA,NA,NA,NA,NA,NA
"Least Concern","Ametrida centurio","2008","2008","LC",NA,NA,NA,NA,NA,NA
"Lower Risk/least concern","Ametrida centurio","1996","1996","LR/lc",NA,NA,NA,NA,NA,NA
