layer,value,key,col
p&p_2000_2005_B0_infodate_013032_20050131_B1,0,perdida,#c65453
p&p_2000_2005_B0_infodate_013032_20050131_B1,1,persistencia,#92ab58
p&p_2000_2005_B0_infodate_013032_20050131_B1,2,no_bosque,#c5b599
p&p_2006_2010_B1_infodate_013032_20100131_B2,0,perdida,#c65453
p&p_2006_2010_B1_infodate_013032_20100131_B2,1,persistencia,#92ab58
p&p_2006_2010_B1_infodate_013032_20100131_B2,2,no_bosque,#c5b599
p&p_2011_2015_B2_infodate_013032_20150131_B3,0,perdida,#c65453
p&p_2011_2015_B2_infodate_013032_20150131_B3,1,persistencia,#92ab58
p&p_2011_2015_B2_infodate_013032_20150131_B3,2,no_bosque,#c5b599
p&p_2016_2021_B3_infodate_013032_20210131_B4,0,perdida,#c65453
p&p_2016_2021_B3_infodate_013032_20210131_B4,1,persistencia,#92ab58
p&p_2016_2021_B3_infodate_013032_20210131_B4,2,no_bosque,#c5b599
